location,technology,time_step,production
GER,Coal,1,38061.6700767249
GER,Coal,2,36449.1851339137
GER,Coal,3,34727.8245842648
GER,Coal,4,33264.6022125711
GER,Coal,5,32576.0331088242
GER,Coal,6,31813.5103930637
GER,Coal,7,30294.1989794578
GER,Coal,8,30573.2654704203
GER,Coal,9,31287.9487033776
GER,Coal,10,33726.0943496955
GER,Coal,11,36548.1867860925
GER,Coal,12,39825.7682932392
GER,Coal,13,40974.7634450653
GER,Coal,14,40223.1605634232
GER,Coal,15,39200.1085479505
GER,Coal,16,39289.6600277453
GER,Coal,17,41954.3647533525
GER,Coal,18,46847.1014783198
GER,Coal,19,47628.2959095602
GER,Coal,20,46527.5539180193
GER,Coal,21,44209.1835030717
GER,Coal,22,42903.9911489379
GER,Coal,23,42708.5134905671
GER,Coal,24,39718.6415013883
GER,Coal,25,36778.0685519541
GER,Coal,26,34674.644551442805
GER,Coal,27,33575.621060510195
GER,Coal,28,33356.669233559805
GER,Coal,29,34390.1130910248
GER,Coal,30,36085.7529793597
GER,Coal,31,38737.6949508035
GER,Coal,32,42902.0440190417
GER,Coal,33,46927.6467775915
GER,Coal,34,50236.1448670483
GER,Coal,35,52476.4217332385
GER,Coal,36,54217.1064099304
GER,Coal,37,54612.6153408979
GER,Coal,38,53513.9954226545
GER,Coal,39,52288.7799564946
GER,Coal,40,51772.9071732733
GER,Coal,41,53578.4685479054
GER,Coal,42,57195.4901536932
GER,Coal,43,57199.6401952299
GER,Coal,44,55073.9729537925
GER,Coal,45,51029.9877378082
GER,Coal,46,48582.4658145787
GER,Coal,47,47412.8316077906
GER,Coal,48,43835.399925697
GER,Coal,49,40071.6717091571
GER,Coal,50,37590.9766060903
GER,Coal,51,36042.591530219404
GER,Coal,52,35495.2741725619
GER,Coal,53,35821.362896156104
GER,Coal,54,36044.58918408
GER,Coal,55,36394.680068379996
GER,Coal,56,39174.2735719925
GER,Coal,57,42845.914557958
GER,Coal,58,46607.6350158444
GER,Coal,59,49344.4504334201
GER,Coal,60,51479.070169494
GER,Coal,61,51761.1902985693
GER,Coal,62,50760.5160482523
GER,Coal,63,49848.9897050409
GER,Coal,64,49858.4398774248
GER,Coal,65,51796.8689148076
GER,Coal,66,54932.5462643018
GER,Coal,67,55006.5099811083
GER,Coal,68,52750.5108276999
GER,Coal,69,48815.535742783
GER,Coal,70,46285.4070757417
GER,Coal,71,45456.8070487661
GER,Coal,72,42338.1972287875
GER,Coal,73,38834.1911665813
GER,Coal,74,36418.4030758334
GER,Coal,75,35054.8549774673
GER,Coal,76,34324.9774494179
GER,Coal,77,34426.5148523763
GER,Coal,78,34031.6684377647
GER,Coal,79,33121.621861080595
GER,Coal,80,34728.6418344362
GER,Coal,81,37199.3183538214
GER,Coal,82,40659.4600313598
GER,Coal,83,43772.6048818827
GER,Coal,84,47241.2954813684
GER,Coal,85,47443.3345126186
GER,Coal,86,45685.0543142849
GER,Coal,87,44023.2804365218
GER,Coal,88,43655.7386596026
GER,Coal,89,45788.7340001265
GER,Coal,90,51007.0415613546
GER,Coal,91,52192.5628939692
GER,Coal,92,50764.3970413295
GER,Coal,93,48080.6170275531
GER,Coal,94,46332.8530906485
GER,Coal,95,46161.6264318573
GER,Coal,96,42838.855507331
GER,Coal,97,39654.6862634706
GER,Coal,98,37480.7658617479
GER,Coal,99,36603.229948545195
GER,Coal,100,36764.2093943669
GER,Coal,101,38133.7403495219
GER,Coal,102,41532.3381204854
GER,Coal,103,47654.9784500683
GER,Coal,104,54304.0280338874
GER,Coal,105,58032.2020536258
GER,Coal,106,59261.2783032771
GER,Coal,107,60604.9540728884
GER,Coal,108,61788.19859839
GER,Coal,109,61810.5662587529
GER,Coal,110,60845.4765196161
GER,Coal,111,59818.8226643185
GER,Coal,112,59332.6759549253
GER,Coal,113,60650.1030710964
GER,Coal,114,64601.7623224255
GER,Coal,115,64632.5645900916
GER,Coal,116,62664.1404304213
GER,Coal,117,58051.9095437723
GER,Coal,118,54870.5046799794
GER,Coal,119,52886.5028621136
GER,Coal,120,48209.3952775243
GER,Coal,121,44737.4963061103
GER,Coal,122,42240.5509236992
GER,Coal,123,41169.3802721709
GER,Coal,124,41231.0789125614
GER,Coal,125,42048.9037344412
GER,Coal,126,43956.0328264104
GER,Coal,127,48473.7954655209
GER,Coal,128,53890.042540427
GER,Coal,129,56534.262944888
GER,Coal,130,57885.6804910679
GER,Coal,131,59512.6668982365
GER,Coal,132,60867.5517600115
GER,Coal,133,60694.0280845215
GER,Coal,134,59249.3327992851
GER,Coal,135,57704.1459905497
GER,Coal,136,57354.9866710652
GER,Coal,137,59221.3252260652
GER,Coal,138,63799.1621100163
GER,Coal,139,63793.3036726642
GER,Coal,140,62155.3570122057
GER,Coal,141,58089.2327651463
GER,Coal,142,54927.0175041666
GER,Coal,143,52726.061513211
GER,Coal,144,48495.2416658613
GER,Coal,145,44749.895906756
GER,Coal,146,42221.4958451158
GER,Coal,147,41562.3635571516
GER,Coal,148,41907.2484156626
GER,Coal,149,43057.1549227184
GER,Coal,150,46739.9948960547
GER,Coal,151,55371.5362168336
GER,Coal,152,62848.129843376
GER,Coal,153,65994.3436638851
GER,Coal,154,66196.103541883
GER,Coal,155,67174.37981745832
GER,Coal,156,68149.34351125422
GER,Coal,157,67743.14337545632
GER,Coal,158,66987.13150861081
GER,Coal,159,65782.71993602121
GER,Coal,160,65081.3577637322
GER,Coal,161,65978.0731749551
GER,Coal,162,68591.74583057761
GER,Coal,163,68591.74583057761
GER,Coal,164,67150.91575367162
GER,Coal,165,62580.8004367034
GER,Coal,166,58887.2692585367
GER,Coal,167,56238.5457638142
GER,Coal,168,51016.7910965768
GER,Coal,169,47195.0904989081
GER,Coal,170,44619.906938717
GER,Coal,171,43666.5340742842
GER,Coal,172,43986.7542557334
GER,Coal,173,45195.3158698597
GER,Coal,174,48264.7510695304
GER,Coal,175,56663.3468815418
GER,Coal,176,64293.7263790491
GER,Coal,177,67163.69871742082
GER,Coal,178,67377.9927202941
GER,Coal,179,68194.35798523242
GER,Coal,180,68591.74583057761
GER,Coal,181,68591.74583057761
GER,Coal,182,68096.9403094321
GER,Coal,183,67157.4367073795
GER,Coal,184,66693.0153515791
GER,Coal,185,67533.49709186722
GER,Coal,186,68591.74583057761
GER,Coal,187,68591.74583057761
GER,Coal,188,66511.38674600272
GER,Coal,189,62037.8819594563
GER,Coal,190,58254.4058335984
GER,Coal,191,55055.3214478984
GER,Coal,192,49896.4660343263
GER,Coal,193,45769.4502922551
GER,Coal,194,43425.090167534
GER,Coal,195,42422.2837391267
GER,Coal,196,42740.5062667153
GER,Coal,197,44433.3211462254
GER,Coal,198,47910.8196113248
GER,Coal,199,56328.6151309423
GER,Coal,200,63948.7171011013
GER,Coal,201,67515.3735780992
GER,Coal,202,67792.56683463791
GER,Coal,203,68591.74583057761
GER,Coal,204,68591.74583057761
GER,Coal,205,68591.74583057761
GER,Coal,206,67265.51527363162
GER,Coal,207,65598.9389427688
GER,Coal,208,64998.7106007488
GER,Coal,209,65694.20423089292
GER,Coal,210,68401.6971473299
GER,Coal,211,67242.0613146377
GER,Coal,212,64264.8478697712
GER,Coal,213,59377.1725415703
GER,Coal,214,55586.6272602925
GER,Coal,215,52826.2435690789
GER,Coal,216,48271.073708329
GER,Coal,217,43880.0714557433
GER,Coal,218,40936.5692876332
GER,Coal,219,39394.4462218036
GER,Coal,220,39092.7329172259
GER,Coal,221,39203.3270246718
GER,Coal,222,39326.6099908087
GER,Coal,223,40563.9459043619
GER,Coal,224,44370.3176827089
GER,Coal,225,48686.828226362
GER,Coal,226,51686.6985896367
GER,Coal,227,53861.6951851974
GER,Coal,228,55773.0886333473
GER,Coal,229,55855.4364334925
GER,Coal,230,53973.086333229
GER,Coal,231,52152.9931798608
GER,Coal,232,51271.8554268334
GER,Coal,233,52844.6159217207
GER,Coal,234,56993.222493155
GER,Coal,235,57263.5013280894
GER,Coal,236,54930.7437634283
GER,Coal,237,50621.1678509653
GER,Coal,238,48249.2138305065
GER,Coal,239,47135.6989800093
GER,Coal,240,43675.5370928851
GER,Coal,241,40031.9977851976
GER,Coal,242,37631.6730380012
GER,Coal,243,36317.6930278393
GER,Coal,244,36029.9734050786
GER,Coal,245,36411.9023317112
GER,Coal,246,36186.2950268232
GER,Coal,247,35307.020403426504
GER,Coal,248,37239.3320597906
GER,Coal,249,40334.4778159824
GER,Coal,250,44569.8108583866
GER,Coal,251,48201.3541381175
GER,Coal,252,51487.743510878
GER,Coal,253,51301.5815006615
GER,Coal,254,49641.3814944839
GER,Coal,255,48057.4220122258
GER,Coal,256,47648.5617062114
GER,Coal,257,48758.235982803
GER,Coal,258,53809.0330397088
GER,Coal,259,55244.0293136875
GER,Coal,260,53565.3123258456
GER,Coal,261,50631.0114912456
GER,Coal,262,48805.8266267324
GER,Coal,263,48800.2372378399
GER,Coal,264,45250.9173388173
GER,Coal,265,42170.8111439019
GER,Coal,266,40407.345129365
GER,Coal,267,39625.0846090794
GER,Coal,268,40110.2896488643
GER,Coal,269,41586.0259358477
GER,Coal,270,46157.321656505
GER,Coal,271,56155.1956653034
GER,Coal,272,64376.0640744015
GER,Coal,273,67681.6733643538
GER,Coal,274,68048.9561976063
GER,Coal,275,68591.74583057761
GER,Coal,276,68591.74583057761
GER,Coal,277,68591.74583057761
GER,Coal,278,68591.74583057761
GER,Coal,279,68267.24550820082
GER,Coal,280,67595.58920015402
GER,Coal,281,67769.227190288
GER,Coal,282,68591.74583057761
GER,Coal,283,68591.74583057761
GER,Coal,284,67319.3578228094
GER,Coal,285,62719.2574883465
GER,Coal,286,58980.1535296968
GER,Coal,287,55397.4015071702
GER,Coal,288,50164.4478525619
GER,Coal,289,46169.8962005521
GER,Coal,290,43849.9317044331
GER,Coal,291,42690.4101863849
GER,Coal,292,43215.5885129675
GER,Coal,293,44864.8282658551
GER,Coal,294,48582.8491776822
GER,Coal,295,57367.5037482771
GER,Coal,296,65133.8146514409
GER,Coal,297,67441.3997564999
GER,Coal,298,66784.8234289011
GER,Coal,299,67585.3318823915
GER,Coal,300,68169.2998402744
GER,Coal,301,67958.9910403293
GER,Coal,302,66930.47405540092
GER,Coal,303,65591.20727099302
GER,Coal,304,64849.468239217
GER,Coal,305,65337.6024976779
GER,Coal,306,68591.74583057761
GER,Coal,307,68591.74583057761
GER,Coal,308,66558.1702445536
GER,Coal,309,61616.6523671748
GER,Coal,310,57632.6169765941
GER,Coal,311,54235.1055042615
GER,Coal,312,48907.5389730921
GER,Coal,313,44922.5720176959
GER,Coal,314,42504.6618536505
GER,Coal,315,41854.461850737
GER,Coal,316,42389.2349787262
GER,Coal,317,44246.6412486755
GER,Coal,318,48125.3927674505
GER,Coal,319,57106.8702387138
GER,Coal,320,65056.8914015798
GER,Coal,321,67470.5574190302
GER,Coal,322,67419.6642981142
GER,Coal,323,68533.60293088642
GER,Coal,324,68591.74583057761
GER,Coal,325,68591.74583057761
GER,Coal,326,68591.74583057761
GER,Coal,327,67879.94571717082
GER,Coal,328,66741.06325408442
GER,Coal,329,66898.84443277052
GER,Coal,330,68591.74583057761
GER,Coal,331,68591.74583057761
GER,Coal,332,67612.1186327507
GER,Coal,333,63068.6858562906
GER,Coal,334,59348.3679277647
GER,Coal,335,56211.3857551444
GER,Coal,336,51181.7961644982
GER,Coal,337,47447.3702395113
GER,Coal,338,45388.5773498748
GER,Coal,339,44413.4892366421
GER,Coal,340,44815.2702824437
GER,Coal,341,45918.4135005345
GER,Coal,342,49292.0876507696
GER,Coal,343,58179.8838102872
GER,Coal,344,65833.85179101811
GER,Coal,345,68434.2280203971
GER,Coal,346,68292.8417500779
GER,Coal,347,68591.74583057761
GER,Coal,348,68591.74583057761
GER,Coal,349,68591.74583057761
GER,Coal,350,68591.74583057761
GER,Coal,351,67505.1263651296
GER,Coal,352,66731.7981298947
GER,Coal,353,66749.9216436627
GER,Coal,354,68591.74583057761
GER,Coal,355,68591.74583057761
GER,Coal,356,67283.9280454448
GER,Coal,357,62734.3374687945
GER,Coal,358,58782.6681126726
GER,Coal,359,55523.085699857
GER,Coal,360,50308.5246074763
GER,Coal,361,46315.8259803043
GER,Coal,362,43673.374600416
GER,Coal,363,42607.9379668029
GER,Coal,364,43139.9062955529
GER,Coal,365,44857.6549005841
GER,Coal,366,48977.5913824427
GER,Coal,367,57636.3129214771
GER,Coal,368,65494.9699988819
GER,Coal,369,68206.22959375202
GER,Coal,370,67923.05348042441
GER,Coal,371,68330.8375926008
GER,Coal,372,68591.74583057761
GER,Coal,373,67970.2203420788
GER,Coal,374,66433.9658183941
GER,Coal,375,64736.4830100141
GER,Coal,376,63563.2368586084
GER,Coal,377,64132.2593602729
GER,Coal,378,67806.5807260407
GER,Coal,379,67233.70754567762
GER,Coal,380,64549.1203865226
GER,Coal,381,59891.8548163095
GER,Coal,382,56236.8474727918
GER,Coal,383,53615.9768174737
GER,Coal,384,49144.3553701439
GER,Coal,385,45275.6123302576
GER,Coal,386,42833.969053966
GER,Coal,387,41619.2698492352
GER,Coal,388,41204.9445737652
GER,Coal,389,41490.9254863319
GER,Coal,390,41378.0646765659
GER,Coal,391,42139.1278353848
GER,Coal,392,45968.3011611627
GER,Coal,393,50284.9361242526
GER,Coal,394,53920.3300826821
