from,to,time_step,flow
GER,NED,1,5000.0
GER,NED,2,5000.0
GER,NED,3,5000.0
GER,NED,4,5000.0
GER,NED,5,5000.0
GER,NED,6,5000.0
GER,NED,7,5000.0
GER,NED,8,5000.0
GER,NED,9,5000.0
GER,NED,10,-5000.0
GER,NED,11,-5000.0
GER,NED,12,-5000.0
GER,NED,13,-5000.0
GER,NED,14,-5000.0
GER,NED,15,-1847.8306222110004
GER,NED,16,5000.0
GER,NED,17,5000.0
GER,NED,18,5000.0
GER,NED,19,5000.0
GER,NED,20,5000.0
GER,NED,21,5000.0
GER,NED,22,5000.0
GER,NED,23,5000.0
GER,NED,24,5000.0
GER,NED,25,5000.0
GER,NED,26,5000.0
GER,NED,27,5000.0
GER,NED,28,5000.0
GER,NED,29,5000.0
GER,NED,30,5000.0
GER,NED,31,5000.0
GER,NED,32,5000.0
GER,NED,33,5000.0
GER,NED,34,-5000.0
GER,NED,35,-5000.0
GER,NED,36,-5000.0
GER,NED,37,-5000.0
GER,NED,38,-5000.0
GER,NED,39,-5000.0
GER,NED,40,5000.0
GER,NED,41,5000.0
GER,NED,42,5000.0
GER,NED,43,5000.0
GER,NED,44,5000.0
GER,NED,45,5000.0
GER,NED,46,5000.0
GER,NED,47,5000.0
GER,NED,48,5000.0
GER,NED,49,5000.0
GER,NED,50,5000.0
GER,NED,51,5000.0
GER,NED,52,5000.0
GER,NED,53,5000.0
GER,NED,54,5000.0
GER,NED,55,5000.0
GER,NED,56,5000.0
GER,NED,57,5000.0
GER,NED,58,5000.0
GER,NED,59,5000.0
GER,NED,60,-3705.555339748
GER,NED,61,-3907.7383288968977
GER,NED,62,5000.0
GER,NED,63,5000.0
GER,NED,64,5000.0
GER,NED,65,5000.0
GER,NED,66,5000.0
GER,NED,67,5000.0
GER,NED,68,5000.0
GER,NED,69,5000.0
GER,NED,70,5000.0
GER,NED,71,5000.0
GER,NED,72,5000.0
GER,NED,73,5000.0
GER,NED,74,5000.0
GER,NED,75,5000.0
GER,NED,76,5000.0
GER,NED,77,5000.0
GER,NED,78,5000.0
GER,NED,79,5000.0
GER,NED,80,5000.0
GER,NED,81,5000.0
GER,NED,82,-5000.0
GER,NED,83,-5000.0
GER,NED,84,-5000.0
GER,NED,85,-5000.0
GER,NED,86,-5000.0
GER,NED,87,-5000.0
GER,NED,88,5000.0
GER,NED,89,5000.0
GER,NED,90,5000.0
GER,NED,91,5000.0
GER,NED,92,5000.0
GER,NED,93,5000.0
GER,NED,94,5000.0
GER,NED,95,5000.0
GER,NED,96,5000.0
GER,NED,97,5000.0
GER,NED,98,5000.0
GER,NED,99,5000.0
GER,NED,100,5000.0
GER,NED,101,5000.0
GER,NED,102,5000.0
GER,NED,103,5000.0
GER,NED,104,4999.999999999997
GER,NED,105,5000.0
GER,NED,106,-5000.0
GER,NED,107,-5000.0
GER,NED,108,-5000.0
GER,NED,109,-790.4857268232008
GER,NED,110,5000.0
GER,NED,111,5000.0
GER,NED,112,5000.0
GER,NED,113,5000.0
GER,NED,114,5000.0
GER,NED,115,5000.0
GER,NED,116,5000.0
GER,NED,117,5000.0
GER,NED,118,5000.0
GER,NED,119,5000.0
GER,NED,120,5000.0
GER,NED,121,5000.0
GER,NED,122,5000.0
GER,NED,123,5000.0
GER,NED,124,5000.0
GER,NED,125,5000.0
GER,NED,126,5000.0
GER,NED,127,5000.0
GER,NED,128,5000.0
GER,NED,129,5000.0
GER,NED,130,-5000.0
GER,NED,131,-5000.0
GER,NED,132,-5000.0
GER,NED,133,-5000.0
GER,NED,134,-5000.0
GER,NED,135,2906.1462286537007
GER,NED,136,5000.0
GER,NED,137,5000.0
GER,NED,138,5000.0
GER,NED,139,5000.0
GER,NED,140,5000.0
GER,NED,141,5000.0
GER,NED,142,5000.0
GER,NED,143,5000.0
GER,NED,144,5000.0
GER,NED,145,5000.0
GER,NED,146,5000.0
GER,NED,147,5000.0
GER,NED,148,5000.0
GER,NED,149,5000.0
GER,NED,150,5000.0
GER,NED,151,5000.0
GER,NED,152,5000.0
GER,NED,153,5000.0
GER,NED,154,-5000.0
GER,NED,155,-5000.0
GER,NED,156,-5000.0
GER,NED,157,-5000.0
GER,NED,158,-5000.0
GER,NED,159,-5000.0
GER,NED,160,5000.0
GER,NED,161,5000.0
GER,NED,162,5000.0
GER,NED,163,5000.0
GER,NED,164,5000.0
GER,NED,165,5000.0
GER,NED,166,5000.0
GER,NED,167,5000.0
GER,NED,168,5000.0
GER,NED,169,5000.0
GER,NED,170,5000.0
GER,NED,171,5000.0
GER,NED,172,5000.0
GER,NED,173,5000.0
GER,NED,174,5000.0
GER,NED,175,5000.0
GER,NED,176,5000.0
GER,NED,177,5000.0
GER,NED,178,5000.0
GER,NED,179,5000.0
GER,NED,180,5000.0
GER,NED,181,5000.0
GER,NED,182,5000.0
GER,NED,183,5000.0
GER,NED,184,5000.0
GER,NED,185,5000.0
GER,NED,186,5000.0
GER,NED,187,5000.0
GER,NED,188,5000.0
GER,NED,189,5000.0
GER,NED,190,5000.0
GER,NED,191,5000.0
GER,NED,192,5000.0
GER,NED,193,5000.0
GER,NED,194,5000.0
GER,NED,195,5000.0
GER,NED,196,5000.0
GER,NED,197,5000.0
GER,NED,198,5000.0
GER,NED,199,5000.0
GER,NED,200,5000.0
GER,NED,201,5000.0
GER,NED,202,5000.0
GER,NED,203,5000.0
GER,NED,204,5000.0
GER,NED,205,2174.5297368753018
GER,NED,206,5000.0
GER,NED,207,5000.0
GER,NED,208,5000.0
GER,NED,209,5000.0
GER,NED,210,5000.0
GER,NED,211,5000.0
GER,NED,212,5000.0
GER,NED,213,5000.0
GER,NED,214,5000.0
GER,NED,215,5000.0
GER,NED,216,5000.0
GER,NED,217,5000.0
GER,NED,218,5000.0
GER,NED,219,5000.0
GER,NED,220,5000.0
GER,NED,221,5000.0
GER,NED,222,5000.0
GER,NED,223,5000.0
GER,NED,224,5000.0
GER,NED,225,4999.999999999999
GER,NED,226,5000.0
GER,NED,227,4155.344659133601
GER,NED,228,841.328166236699
GER,NED,229,87.4688877940007
GER,NED,230,2984.2668249237013
GER,NED,231,5000.0
GER,NED,232,5000.0
GER,NED,233,5000.0
GER,NED,234,5000.0
GER,NED,235,5000.0
GER,NED,236,5000.0
GER,NED,237,5000.0
GER,NED,238,5000.0
GER,NED,239,5000.0
GER,NED,240,5000.0
GER,NED,241,5000.0
GER,NED,242,5000.0
GER,NED,243,5000.0
GER,NED,244,5000.0
GER,NED,245,5000.0
GER,NED,246,5000.0
GER,NED,247,5000.0
GER,NED,248,4999.999999999998
GER,NED,249,5000.0
GER,NED,250,-5000.0
GER,NED,251,-5000.0
GER,NED,252,-5000.0
GER,NED,253,-5000.0
GER,NED,254,-5000.0
GER,NED,255,-4840.5367962830005
GER,NED,256,5000.0
GER,NED,257,5000.0
GER,NED,258,5000.0
GER,NED,259,5000.0
GER,NED,260,5000.0
GER,NED,261,5000.0
GER,NED,262,5000.0
GER,NED,263,5000.0
GER,NED,264,5000.0
GER,NED,265,5000.0
GER,NED,266,5000.0
GER,NED,267,5000.0
GER,NED,268,5000.0
GER,NED,269,5000.0
GER,NED,270,5000.0
GER,NED,271,5000.0
GER,NED,272,5000.0
GER,NED,273,5000.0
GER,NED,274,5000.0
GER,NED,275,5000.0
GER,NED,276,5000.0
GER,NED,277,5000.0
GER,NED,278,5000.0
GER,NED,279,5000.0
GER,NED,280,5000.0
GER,NED,281,5000.0
GER,NED,282,5000.0
GER,NED,283,5000.0
GER,NED,284,5000.0
GER,NED,285,5000.0
GER,NED,286,5000.0
GER,NED,287,5000.0
GER,NED,288,5000.0
GER,NED,289,5000.0
GER,NED,290,5000.0
GER,NED,291,5000.0
GER,NED,292,5000.0
GER,NED,293,5000.0
GER,NED,294,5000.0
GER,NED,295,5000.0
GER,NED,296,4999.999999999998
GER,NED,297,5000.0
GER,NED,298,5000.0
GER,NED,299,5000.0
GER,NED,300,5000.0
GER,NED,301,4223.0493251959
GER,NED,302,5000.0
GER,NED,303,5000.0
GER,NED,304,5000.0
GER,NED,305,5000.0
GER,NED,306,5000.0
GER,NED,307,5000.0
GER,NED,308,5000.0
GER,NED,309,5000.0
GER,NED,310,5000.0
GER,NED,311,5000.0
GER,NED,312,5000.0
GER,NED,313,5000.0
GER,NED,314,5000.0
GER,NED,315,5000.0
GER,NED,316,5000.0
GER,NED,317,5000.0
GER,NED,318,5000.0
GER,NED,319,5000.0
GER,NED,320,5000.0
GER,NED,321,5000.0
GER,NED,322,5000.0
GER,NED,323,-2234.4377852200014
GER,NED,324,-5000.0
GER,NED,325,-5000.0
GER,NED,326,-5000.0
GER,NED,327,-5000.0
GER,NED,328,5000.0
GER,NED,329,5000.0
GER,NED,330,5000.0
GER,NED,331,5000.0
GER,NED,332,5000.0
GER,NED,333,5000.0
GER,NED,334,5000.0
GER,NED,335,5000.0
GER,NED,336,5000.0
GER,NED,337,5000.0
GER,NED,338,5000.0
GER,NED,339,5000.0
GER,NED,340,5000.0
GER,NED,341,5000.0
GER,NED,342,5000.0
GER,NED,343,5000.0
