location,time_step,loss_of_load
NED,1,8170.043594147301
NED,2,7924.855962422
GER,3,-1.0913936421275139e-11
NED,3,7508.630184372199
GER,4,-1.0913936421275139e-11
NED,4,7069.665230799401
NED,5,6799.7611039405
NED,6,6781.9652274443
NED,7,6915.4343011657
NED,8,7211.043582963601
NED,9,3737.356472547701
NED,16,7797.8028826554
NED,17,9476.0631970068
NED,18,10612.0333133471
NED,19,10682.2281595265
NED,20,10516.1333122287
NED,21,10159.2271224995
NED,22,9622.3848481977
NED,23,8978.7673149187
NED,24,8225.4085432466
NED,25,7590.6889482157
NED,26,7111.1889426237885
GER,27,-3.637978807091713e-12
NED,27,6818.545640242
GER,28,-1.0913936421275139e-11
NED,28,6719.679659707601
NED,29,6776.033268612189
NED,30,7106.2456435971
NED,31,7918.9240035899
NED,32,9028.2003051859
NED,33,9160.6724832781
NED,40,6382.0132160191
NED,41,11417.791054702499
NED,42,12706.014781065802
NED,43,12358.006529584702
NED,44,11899.268379905
NED,45,11259.6054858474
NED,46,10424.1879503317
NED,47,9642.1580443046
NED,48,8934.2776236783
NED,49,8142.361119597699
NED,50,7585.745649189001
NED,51,7188.30440744069
GER,52,-3.637978807091713e-12
NED,52,6983.6518277345
NED,53,6927.298218829888
GER,54,-1.0913936421275139e-11
NED,54,7131.9507985361
GER,55,-3.637978807091713e-12
NED,55,7539.278638337801
NED,56,8250.1250383802
NED,57,9013.8626790525
NED,58,5027.5451647858
NED,59,709.0379559235989
NED,62,385.7420816641006
NED,63,6022.6333178206005
GER,64,2.7284841053187847e-12
NED,64,10968.9395030763
NED,65,11359.4601261872
NED,66,12065.3632272028
NED,67,11767.7766257943
NED,68,11308.0498163093
NED,69,10691.1260977746
NED,70,9991.154955591
NED,71,9322.8209271785
NED,72,8618.8951457735
NED,73,7968.3569938571
GER,74,-3.637978807091713e-12
NED,74,7433.492039166
NED,75,7074.6085298261005
NED,76,6912.4683217497
NED,77,6857.103372650399
NED,78,6929.27553844049
GER,79,-3.637978807091713e-12
NED,79,7110.2002828184995
GER,80,-1.8189894035458565e-12
NED,80,7556.085855028699
NED,81,1438.6977176511
NED,88,3551.9642284418996
NED,89,9943.6992849345
NED,90,11420.757034118498
NED,91,11500.838478351401
NED,92,11274.4353829276
NED,93,10739.5704282365
NED,94,10039.5992860529
NED,95,9342.5941232853
