location,technology,time_step,production
GER,Oil,1,38061.6700767249
GER,Oil,2,36449.1851339137
GER,Oil,3,34727.82458426481
GER,Oil,4,33264.60221257111
GER,Oil,5,32576.0331088242
GER,Oil,6,31813.5103930637
GER,Oil,7,30294.1989794578
GER,Oil,8,30573.2654704203
GER,Oil,9,22767.3487033776
GER,Oil,15,19958.677925739496
GER,Oil,16,38902.3600277453
GER,Oil,17,41954.3647533525
GER,Oil,18,46847.1014783198
GER,Oil,19,47628.2959095602
GER,Oil,20,46527.5539180193
GER,Oil,21,44209.1835030717
GER,Oil,22,42903.9911489379
GER,Oil,23,42708.5134905671
GER,Oil,24,39718.6415013883
GER,Oil,25,36778.0685519541
GER,Oil,26,34674.64455144281
GER,Oil,27,33575.6210605102
GER,Oil,28,33356.66923355981
GER,Oil,29,34390.11309102481
GER,Oil,30,36085.7529793597
GER,Oil,31,38737.6949508035
GER,Oil,32,42902.0440190417
GER,Oil,33,43054.6467775915
GER,Oil,34,29972.694867048303
GER,Oil,35,26790.7717332385
GER,Oil,36,25045.756409930396
GER,Oil,37,23311.115340897893
GER,Oil,38,26085.4954226545
GER,Oil,39,34155.47995649459
GER,Oil,40,51191.9571732733
GER,Oil,41,53578.4685479054
GER,Oil,42,57195.4901536932
GER,Oil,43,57199.6401952299
GER,Oil,44,55073.9729537925
GER,Oil,45,51029.9877378082
GER,Oil,46,48582.4658145787
GER,Oil,47,47412.8316077906
GER,Oil,48,43835.399925697
GER,Oil,49,40071.6717091571
GER,Oil,50,37590.9766060903
GER,Oil,51,36042.59153021941
GER,Oil,52,35495.274172561905
GER,Oil,53,35821.36289615611
GER,Oil,54,36044.58918408001
GER,Oil,55,36394.68006838
GER,Oil,56,39174.2735719925
GER,Oil,57,39166.564557958
GER,Oil,58,35956.8850158444
GER,Oil,59,34627.050433420096
GER,Oil,60,26700.564829745996
GER,Oil,61,28910.651969672403
GER,Oil,62,40690.716048252296
GER,Oil,63,45395.0397050409
GER,Oil,64,49471.139877424794
GER,Oil,65,51796.8689148076
GER,Oil,66,54932.5462643018
GER,Oil,67,55006.5099811083
GER,Oil,68,52750.5108276999
GER,Oil,69,48815.535742783
GER,Oil,70,46285.4070757417
GER,Oil,71,45456.8070487661
GER,Oil,72,42338.1972287875
GER,Oil,73,38834.1911665813
GER,Oil,74,36418.403075833405
GER,Oil,75,35054.8549774673
GER,Oil,76,34324.9774494179
GER,Oil,77,34426.5148523763
GER,Oil,78,34031.66843776471
GER,Oil,79,33121.6218610806
GER,Oil,80,34534.9918344362
GER,Oil,81,26935.868353821403
GER,Oil,82,2580.2100313598003
GER,Oil,85,5878.3845126186025
GER,Oil,86,13608.954314284896
GER,Oil,87,22985.230436521793
GER,Oil,88,42881.1386596026
GER,Oil,89,45788.7340001265
GER,Oil,90,51007.0415613546
GER,Oil,91,52192.5628939692
GER,Oil,92,50764.3970413295
GER,Oil,93,48080.6170275531
GER,Oil,94,46332.8530906485
GER,Oil,95,46161.6264318573
GER,Oil,96,42838.855507331
GER,Oil,97,39654.6862634706
GER,Oil,98,37480.76586174791
GER,Oil,99,36603.2299485452
GER,Oil,100,36764.20939436691
GER,Oil,101,38133.7403495219
GER,Oil,102,41532.3381204854
GER,Oil,103,47654.9784500683
GER,Oil,104,53916.7280338874
GER,Oil,105,46219.5520536258
GER,Oil,106,24086.778303277097
GER,Oil,107,19427.3040728884
GER,Oil,108,15962.948598390001
GER,Oil,109,20969.430531929705
GER,Oil,110,31023.3765196161
GER,Oil,111,42003.0226643185
GER,Oil,112,57008.87595492529
GER,Oil,113,60650.1030710964
GER,Oil,114,64601.7623224255
GER,Oil,115,64632.5645900916
GER,Oil,116,62664.1404304213
GER,Oil,117,58051.9095437723
GER,Oil,118,54870.5046799794
GER,Oil,119,52886.5028621136
GER,Oil,120,48209.3952775243
GER,Oil,121,44737.4963061103
GER,Oil,122,42240.5509236992
GER,Oil,123,41169.3802721709
GER,Oil,124,41231.0789125614
GER,Oil,125,42048.9037344412
GER,Oil,126,43956.0328264104
GER,Oil,127,48473.7954655209
GER,Oil,128,53502.742540426996
GER,Oil,129,46270.812944888006
GER,Oil,130,24454.0304910679
GER,Oil,131,16592.1668982365
GER,Oil,132,13105.801760011498
