location,time_step,loss_of_load
NED,1,5770.043594147301
NED,2,5524.855962422
NED,3,5108.630184372199
NED,4,4669.665230799401
NED,5,4399.7611039405
NED,6,4381.9652274443
NED,7,4515.4343011657
NED,8,4811.043582963601
NED,9,5067.106472547701
NED,10,5413.137404418099
NED,11,5949.979678719899
NED,12,6417.615766647699
NED,13,6550.0961805638
NED,14,6607.438449273701
NED,15,6665.769377789
NED,16,6641.0528826554
NED,17,7076.063197006801
NED,18,8212.0333133471
NED,19,8282.2281595265
NED,20,8116.1333122287
NED,21,7759.2271224995
NED,22,7222.3848481977
NED,23,6578.767314918699
NED,24,5825.4085432466
NED,25,5190.6889482157
NED,26,4711.188942623799
NED,27,4418.545640242
NED,28,4319.679659707601
NED,29,4376.0332686122
NED,30,4706.2456435971
NED,31,5518.9240035899
NED,32,6628.200305185899
NED,33,7755.2724832781005
NED,34,8620.3498129542
NED,35,9052.3941478895
NED,36,9098.8611587407
NED,37,8913.9817751414
NED,38,8785.4560004466
NED,39,8735.0343503741
NED,40,8706.3632160191
NED,41,9017.791054702499
NED,42,10306.014781065802
NED,43,9958.006529584702
NED,44,9499.268379905
NED,45,8859.6054858474
NED,46,8024.1879503316995
NED,47,7242.1580443046005
NED,48,6534.277623678299
NED,49,5742.361119597699
NED,50,5185.745649189001
NED,51,4788.304407440701
NED,52,4583.6518277345
NED,53,4527.298218829899
NED,54,4731.9507985361
NED,55,5139.278638337801
NED,56,5850.1250383802
NED,57,6862.512679052499
NED,58,7849.1951647858
NED,59,8503.6879559236
NED,60,8786.444660252
NED,61,8832.9116711031
NED,62,8677.6920816641
NED,63,8595.6333178206
NED,64,8568.9395030763
NED,65,8959.4601261872
NED,66,9665.3632272028
NED,67,9367.7766257943
NED,68,8908.0498163093
NED,69,8291.1260977746
NED,70,7591.1549555910005
NED,71,6922.8209271785
NED,72,6218.8951457735
NED,73,5568.3569938571
NED,74,5033.492039166
NED,75,4674.6085298261005
NED,76,4512.4683217497
NED,77,4457.103372650399
NED,78,4529.275538440501
NED,79,4710.2002828184995
NED,80,5156.085855028699
NED,81,5752.2477176511
NED,82,6341.4889616362
NED,83,6885.251854575399
NED,84,7171.9631981252005
NED,85,7321.2508287321
NED,86,7191.736394232001
NED,87,7079.0291764228
NED,88,7119.564228441899
NED,89,7543.699284934501
NED,90,9020.757034118498
NED,91,9100.838478351401
NED,92,8874.4353829276
NED,93,8339.5704282365
NED,94,7639.5992860529
NED,95,6942.5941232853
NED,96,6070.596174971901
NED,97,5414.126064223499
NED,98,4979.1157498721
NED,99,4766.553891723101
NED,100,4721.0755406773005
NED,101,4838.7260575132
NED,102,5269.7817326432
NED,103,6672.689996426399
NED,104,8838.8436299352
NED,105,10363.3570497757
NED,106,10731.1384973637
NED,107,10830.0044778981
NED,108,10998.076644806599
NED,109,10955.564273176798
NED,110,11040.5890164364
NED,111,10945.6776751234
NED,112,10912.0632417417
NED,113,11289.7312873831
NED,114,11837.4488195437
NED,115,11120.670460669298
NED,116,10553.1797324018
NED,117,9807.7302391724
NED,118,8915.959094752
NED,119,7880.8322785568
NED,120,6844.7168025563005
NED,121,5980.628132685601
NED,122,5457.6270956585995
NED,123,5199.5868864638
NED,124,5106.6528647615
NED,125,5187.7229687997005
NED,126,5612.8466850976
