location,time_step,loss_of_load
NED,1,5770.043594147301
NED,2,5524.855962422
NED,3,5108.630184372199
NED,4,4669.665230799401
NED,5,4399.7611039405
NED,6,4381.9652274443
NED,7,4515.4343011657
NED,8,4811.043582963601
NED,9,1977.1355028508196
NED,16,5611.062559423106
NED,17,7076.063197006801
NED,18,8212.0333133471
NED,19,8282.2281595265
NED,20,8116.1333122287
NED,21,7759.2271224995
NED,22,7222.3848481977
NED,23,6578.767314918699
NED,24,5825.4085432466
NED,25,5190.6889482157
NED,26,4711.188942623799
NED,27,4418.545640242
NED,28,4319.679659707601
NED,29,4376.0332686122
NED,30,4706.2456435971
NED,31,5518.9240035899
NED,32,6628.200305185899
NED,33,6931.280224692266
NED,40,4792.399987736383
NED,41,9017.791054702499
NED,42,10306.014781065802
NED,43,9958.006529584702
NED,44,9499.268379905
NED,45,8859.6054858474
NED,46,8024.1879503316995
NED,47,7242.1580443046005
NED,48,6534.277623678299
NED,49,5742.361119597699
NED,50,5185.745649189001
NED,51,4788.304407440701
NED,52,4583.6518277345
NED,53,4527.298218829899
NED,54,4731.9507985361
NED,55,5139.278638337801
NED,56,5850.1250383802
NED,57,6656.51461440604
NED,58,3523.235807210167
NED,59,57.767305418790784
NED,63,4475.672024891425
NED,64,8568.9395030763
NED,65,8959.4601261872
NED,66,9665.3632272028
NED,67,9367.7766257943
NED,68,8908.0498163093
NED,69,8291.1260977746
NED,70,7591.1549555910005
NED,71,6922.8209271785
NED,72,6218.8951457735
NED,73,5568.3569938571
NED,74,5033.492039166
NED,75,4674.6085298261005
NED,76,4512.4683217497
NED,77,4457.103372650399
NED,78,4529.275538440501
NED,79,4710.2002828184995
NED,80,5156.085855028699
NED,81,190.2999721967126
NED,88,2175.610676926889
NED,89,7543.699284934501
NED,90,9020.757034118498
NED,91,9100.838478351401
NED,92,8874.4353829276
NED,93,8339.5704282365
NED,94,7639.5992860529
NED,95,6942.5941232853
NED,96,6070.596174971901
NED,97,5414.126064223499
NED,98,4979.1157498721
NED,99,4766.553891723101
NED,100,4721.0755406773005
NED,101,4838.7260575132
NED,102,5269.7817326432
NED,103,6672.689996426399
NED,104,8838.8436299352
NED,105,8097.378338664654
NED,110,1770.6761073457546
NED,111,7443.710576133601
NED,112,10706.06517709524
NED,113,11289.7312873831
NED,114,11837.4488195437
NED,115,11120.670460669298
NED,116,10553.1797324018
NED,117,9807.7302391724
NED,118,8915.959094752
NED,119,7880.8322785568
NED,120,6844.7168025563005
NED,121,5980.628132685601
NED,122,5457.6270956585995
NED,123,5199.5868864638
NED,124,5106.6528647615
NED,125,5187.7229687997005
NED,126,5612.8466850976
NED,127,6888.217833991401
NED,128,9188.829201027002
NED,129,7704.798580343779
NED,136,9905.168919167167
NED,137,11080.135408650101
NED,138,11875.0178921468
NED,139,11098.9199449517
NED,140,10614.476640333101
NED,141,9787.9570430655
NED,142,8873.4467231223
NED,143,7830.4106284843
NED,144,6840.762163334901
NED,145,6034.0157621742
NED,146,5497.1734878724
NED,147,5240.1219384829
NED,148,5157.074514833999
NED,149,5210.462144322601
NED,150,5648.438438089999
NED,151,6957.424020365501
NED,152,9137.4188911491
NED,153,3955.3097048830186
NED,160,7826.760561535935
NED,161,10877.4601485546
NED,162,11761.322014532201
NED,163,10979.292108505098
