location,technology,time_step,production
AUS,Oil,34,5.253926554540158
AUS,Oil,35,83.48766459553008
AUS,Oil,36,12.274903045399697
AUS,Oil,41,529.8211700857701
AUS,Oil,42,720.3905319804799
AUS,Oil,43,331.22783505865027
AUS,Oil,66,11.271906403850153
AUS,Oil,105,0.23894334678971063
AUS,Oil,106,276.0630197733399
AUS,Oil,107,418.4885428735997
AUS,Oil,108,566.9320458231377
AUS,Oil,109,323.2038619262403
AUS,Oil,110,310.16490558607984
AUS,Oil,111,338.2488115495098
AUS,Oil,112,349.2817746065484
AUS,Oil,113,822.6961894186898
AUS,Oil,114,962.1127225942928
AUS,Oil,115,712.366558848069
AUS,Oil,116,75.46369146309826
AUS,Oil,151,334.2368249833098
AUS,Oil,152,1149.673094564343
AUS,Oil,153,1412.45821465074
AUS,Oil,154,1423.4911777077996
AUS,Oil,155,1570.931684015799
AUS,Oil,156,1530.811818353748
AUS,Oil,157,1368.3263624224674
AUS,Oil,158,1251.9787520025639
AUS,Oil,159,1260.0027251349638
AUS,Oil,160,1320.1825236280401
AUS,Oil,161,1821.6808444035814
AUS,Oil,162,1991.1872768257308
AUS,Oil,163,2275.8790341864096
AUS,Oil,164,895.9149442518974
AUS,Oil,165,325.2098552093403
AUS,Oil,175,635.1358174486404
AUS,Oil,176,1458.59606016209
AUS,Oil,177,1690.2882843603784
AUS,Oil,178,1729.4051533808888
AUS,Oil,179,1775.5429988922187
AUS,Oil,180,2275.8790341864096
AUS,Oil,181,1442.481106910007
AUS,Oil,182,1399.4192583105796
AUS,Oil,183,1289.0896277399588
AUS,Oil,184,1348.2664295914692
AUS,Oil,185,1727.399160097768
AUS,Oil,186,2275.8790341864096
AUS,Oil,187,1936.5043411824954
AUS,Oil,188,896.9179408934469
AUS,Oil,189,308.158912302958
AUS,Oil,199,292.11096603815986
AUS,Oil,200,1100.52625912835
AUS,Oil,201,1438.53612733107
AUS,Oil,202,1442.5481138972627
AUS,Oil,203,1595.2910415782826
AUS,Oil,204,2275.8790341864096
AUS,Oil,205,1205.5677193672273
AUS,Oil,206,922.9958535737787
AUS,Oil,207,890.8999610441697
AUS,Oil,208,1033.3254841443995
AUS,Oil,209,1495.7069358994595
AUS,Oil,210,1572.9376772989126
AUS,Oil,211,1178.7599971693307
AUS,Oil,212,523.8031902364601
AUS,Oil,271,436.5424824215197
AUS,Oil,272,1296.1106042307874
AUS,Oil,273,1471.6350165022595
AUS,Oil,274,1450.572087029679
AUS,Oil,275,2235.412991383002
AUS,Oil,276,2275.8790341864096
AUS,Oil,277,2275.8790341864096
AUS,Oil,278,1893.3910047688696
AUS,Oil,279,838.7441356834879
AUS,Oil,280,879.8669979870792
AUS,Oil,281,1492.697945974829
AUS,Oil,282,2275.8790341864096
AUS,Oil,283,2275.8790341864096
AUS,Oil,284,682.2766596015399
AUS,Oil,285,107.55958399276005
AUS,Oil,295,535.8391499350801
AUS,Oil,296,1343.2514463837197
AUS,Oil,297,1458.59606016209
AUS,Oil,298,1469.6290232191495
AUS,Oil,299,1334.224476609761
AUS,Oil,300,1148.6700979228008
AUS,Oil,301,868.8340349300397
AUS,Oil,302,729.4175017544185
AUS,Oil,303,784.5823170397271
AUS,Oil,304,813.6692196447075
AUS,Oil,305,1349.2694262330187
AUS,Oil,306,2275.8790341864096
AUS,Oil,307,1975.3835299823222
AUS,Oil,308,771.543360699583
AUS,Oil,309,94.52062765258961
AUS,Oil,319,509.7612372547501
AUS,Oil,320,1276.0506713997675
AUS,Oil,321,1482.667979559319
AUS,Oil,322,1430.5121541986518
AUS,Oil,323,1451.5750836712068
AUS,Oil,324,2275.8790341864096
AUS,Oil,325,1829.817641291389
AUS,Oil,326,1215.4229268527924
AUS,Oil,327,1023.2955177288895
AUS,Oil,328,1179.7629938108694
AUS,Oil,329,1613.057542960938
AUS,Oil,330,2275.8790341864096
AUS,Oil,331,2275.8790341864096
AUS,Oil,332,671.2436965444804
AUS,Oil,333,51.39177206589011
AUS,Oil,343,615.0758846176104
AUS,Oil,344,1358.296396006972
AUS,Oil,345,1466.620033294501
AUS,Oil,346,1452.578080312789
AUS,Oil,347,2180.97464122931
AUS,Oil,348,2275.8790341864096
AUS,Oil,349,1868.6548432548843
AUS,Oil,350,1192.1549646609274
AUS,Oil,351,1054.388413617
AUS,Oil,352,1046.364440484591
AUS,Oil,353,1565.9167008080603
AUS,Oil,354,2275.8790341864096
AUS,Oil,355,2275.8790341864096
AUS,Oil,356,938.0408031970692
AUS,Oil,357,308.15891230297984
AUS,Oil,367,569.94103574781
AUS,Oil,368,1380.362322121102
AUS,Oil,369,1519.7788552966886
AUS,Oil,370,1513.7608754473931
AUS,Oil,371,1464.6140400114
AUS,Oil,372,1672.9943368635322
AUS,Oil,373,843.7591188912593
AUS,Oil,374,683.2796562430831
AUS,Oil,375,590.00096857884
AUS,Oil,376,650.1807670718781
AUS,Oil,377,1152.6820844890099
AUS,Oil,378,1457.5930635205405
AUS,Oil,379,1123.5951818839985
AUS,Oil,380,362.3207309467398
AUS,Oil,394,115.58355712516004
AUS,Oil,395,311.1679022276303
AUS,Oil,396,317.1858820769403
AUS,Oil,401,61.4217384814001
AUS,Oil,402,275.06002313179033
AUS,Oil,439,478.66834136665966
AUS,Oil,440,1495.7069358994813
AUS,Oil,441,1706.3362306251875
AUS,Oil,442,1783.5669720246424
AUS,Oil,443,2275.8790341864096
AUS,Oil,444,2275.8790341864096
AUS,Oil,445,2275.8790341864096
AUS,Oil,446,1925.0221690307098
AUS,Oil,447,1299.1195941554688
AUS,Oil,448,1346.2604363083628
AUS,Oil,449,1737.4291265132779
AUS,Oil,450,2275.8790341864096
AUS,Oil,451,2275.8790341864096
AUS,Oil,452,1073.4453498064486
AUS,Oil,453,337.24581490796027
AUS,Oil,463,772.5463573411398
AUS,Oil,464,1694.3002709265784
AUS,Oil,465,2275.8790341864096
AUS,Oil,466,2275.8790341864096
AUS,Oil,467,2275.8790341864096
AUS,Oil,468,2275.8790341864096
AUS,Oil,469,2275.8790341864096
AUS,Oil,470,2275.8790341864096
AUS,Oil,471,1744.430471199994
AUS,Oil,472,1477.6529963515604
AUS,Oil,473,1739.4351197963988
AUS,Oil,474,2275.8790341864096
AUS,Oil,475,2275.8790341864096
AUS,Oil,476,1134.628144941089
AUS,Oil,477,447.5754454785729
AUS,Oil,487,1188.7899635848398
AUS,Oil,488,1636.1264657166394
AUS,Oil,489,2275.8790341864096
AUS,Oil,490,2275.8790341864096
AUS,Oil,491,2275.8790341864096
AUS,Oil,492,2275.8790341864096
AUS,Oil,493,2275.8790341864096
AUS,Oil,494,1909.6738646500671
AUS,Oil,495,1212.8618829820698
AUS,Oil,496,1208.8498964158625
AUS,Oil,497,1575.9466672235485
AUS,Oil,498,2275.8790341864096
AUS,Oil,499,2275.8790341864096
AUS,Oil,500,1111.6596489562944
AUS,Oil,501,38.35281572572967
AUS,Oil,511,515.7792171040501
AUS,Oil,512,1439.5391239726196
AUS,Oil,513,2275.8790341864096
AUS,Oil,514,2275.8790341864096
AUS,Oil,515,2275.8790341864096
AUS,Oil,516,2275.8790341864096
AUS,Oil,517,2275.8790341864096
AUS,Oil,518,2275.8790341864096
AUS,Oil,519,2072.7520386363794
AUS,Oil,520,1261.0706172765895
AUS,Oil,521,1540.8417847692726
AUS,Oil,522,2275.8790341864096
AUS,Oil,523,2275.8790341864096
AUS,Oil,524,931.5084122456083
AUS,Oil,525,161.72140263650272
AUS,Oil,535,509.76123725472826
AUS,Oil,536,1329.2094934019988
AUS,Oil,537,2275.8790341864096
AUS,Oil,538,2275.8790341864096
AUS,Oil,539,2275.8790341864096
AUS,Oil,540,2275.8790341864096
AUS,Oil,541,2275.8790341864096
AUS,Oil,542,1813.3603916405555
AUS,Oil,543,1284.0746445322002
AUS,Oil,544,1252.9817486441207
AUS,Oil,545,1526.7998317875627
AUS,Oil,546,2275.8790341864096
AUS,Oil,547,1978.8962182925497
AUS,Oil,548,699.3276025079103
AUS,Oil,549,40.35880900880784
AUS,Oil,561,9.265913120750156
AUS,Oil,562,398.42861004257975
AUS,Oil,563,552.8900928414496
AUS,Oil,564,523.8031902364601
AUS,Oil,565,218.8922112049304
AUS,Oil,566,26.316856027119684
AUS,Oil,569,155.70342278721
AUS,Oil,570,400.4346033256579
AUS,Oil,571,50.388775424339656
AUS,Oil,607,650.1807670718999
AUS,Oil,608,1395.4072717443632
AUS,Oil,609,1657.1893951892016
AUS,Oil,610,2019.678007628714
AUS,Oil,611,2275.8790341864096
AUS,Oil,612,2275.8790341864096
AUS,Oil,613,2275.8790341864096
AUS,Oil,614,2275.8790341864096
AUS,Oil,615,1965.0677044170898
AUS,Oil,616,1276.0506713997893
AUS,Oil,617,1545.8567679770185
AUS,Oil,618,2199.8105782683597
AUS,Oil,619,2275.8790341864096
AUS,Oil,620,1213.8648796236193
AUS,Oil,621,549.88110291679
AUS,Oil,631,803.6392532292202
AUS,Oil,632,1573.9406739404694
AUS,Oil,633,1905.6603237776544
AUS,Oil,634,1886.146010525581
AUS,Oil,635,2006.2322264489903
AUS,Oil,636,2275.8790341864096
AUS,Oil,637,2275.8790341864096
AUS,Oil,638,2275.8790341864096
AUS,Oil,639,1413.4612112922896
AUS,Oil,640,1385.3773053288605
AUS,Oil,641,1675.243334737108
AUS,Oil,642,2275.8790341864096
AUS,Oil,643,2275.8790341864096
AUS,Oil,644,1086.4843061466308
AUS,Oil,645,321.1978686431403
AUS,Oil,655,735.4354816037503
AUS,Oil,656,1503.7309090318831
AUS,Oil,657,1684.2703045110902
AUS,Oil,658,1861.6527065149512
AUS,Oil,659,2275.8790341864096
AUS,Oil,660,2275.8790341864096
AUS,Oil,661,2275.8790341864096
AUS,Oil,662,2275.8790341864096
AUS,Oil,663,1566.3050814322123
AUS,Oil,664,1295.1076075892597
AUS,Oil,665,1618.0725261687203
AUS,Oil,666,2275.8790341864096
AUS,Oil,667,2275.8790341864096
AUS,Oil,668,1421.1145459731633
AUS,Oil,669,573.9530223139982
AUS,Oil,679,703.3395890740885
AUS,Oil,680,1519.7788552967104
AUS,Oil,681,1958.7160293984198
AUS,Oil,682,2275.8790341864096
AUS,Oil,683,2275.8790341864096
AUS,Oil,684,2275.8790341864096
AUS,Oil,685,2275.8790341864096
AUS,Oil,686,2260.3922214645354
AUS,Oil,687,1397.4132650274732
AUS,Oil,688,1319.1795269864815
AUS,Oil,689,1585.9766336390803
AUS,Oil,690,2275.8790341864096
AUS,Oil,691,2275.8790341864096
AUS,Oil,692,1077.4573363726631
AUS,Oil,693,372.3506973622498
AUS,Oil,703,540.8541331428296
AUS,Oil,704,1399.4192583105578
AUS,Oil,705,1769.5250190429288
AUS,Oil,706,1898.911585803031
AUS,Oil,707,2275.8790341864096
AUS,Oil,708,1980.1543137686695
AUS,Oil,709,1911.0729379137847
AUS,Oil,710,1427.5031642740105
AUS,Oil,711,1312.158550495631
AUS,Oil,712,1159.7030609798603
AUS,Oil,713,1519.7788552967031
AUS,Oil,714,1939.0314514650709
AUS,Oil,715,1466.620033294501
AUS,Oil,716,797.6212733799111
AUS,Oil,717,127.61951682378003
AUS,Oil,730,24.310862744009683
AUS,Oil,731,132.63450003152957
AUS,Oil,732,15.283892970050147
AUS,Oil,738,366.3327175129398
AUS,Oil,739,164.73039256117045
AUS,Oil,775,429.4790845192101
AUS,Oil,776,1242.5358953271098
AUS,Oil,777,1479.8443487279328
AUS,Oil,778,1553.9406590725011
AUS,Oil,779,2275.8790341864096
AUS,Oil,780,2275.8790341864096
AUS,Oil,781,2275.8790341864096
AUS,Oil,782,1895.4621069381028
AUS,Oil,783,1219.5059610308308
AUS,Oil,784,1136.3979372659796
AUS,Oil,785,1338.6608384768097
AUS,Oil,786,2275.8790341864096
AUS,Oil,787,2275.8790341864096
AUS,Oil,788,1298.9549378937445
AUS,Oil,789,333.3541413694884
AUS,Oil,799,677.8018543226099
AUS,Oil,800,1529.909423285062
AUS,Oil,801,1508.8820919710797
AUS,Oil,802,1826.345827720379
AUS,Oil,803,2275.8790341864096
AUS,Oil,804,2275.8790341864096
AUS,Oil,805,2275.8790341864096
AUS,Oil,806,1347.090679450801
AUS,Oil,807,984.2001106122898
AUS,Oil,808,1062.3016269214204
AUS,Oil,809,1179.4539013851208
AUS,Oil,810,2275.8790341864096
AUS,Oil,811,2275.8790341864096
AUS,Oil,812,1555.4265428072267
AUS,Oil,813,374.40750250633846
AUS,Oil,823,612.717257398308
AUS,Oil,824,1506.8794889887686
AUS,Oil,825,2275.8790341864096
AUS,Oil,826,2275.8790341864096
AUS,Oil,827,2275.8790341864096
AUS,Oil,828,2275.8790341864096
AUS,Oil,829,2275.8790341864096
AUS,Oil,830,2120.7058143235827
AUS,Oil,831,1221.508564013111
AUS,Oil,832,1151.4174596331213
AUS,Oil,833,1243.5371968182426
AUS,Oil,834,2275.8790341864096
AUS,Oil,835,2275.8790341864096
AUS,Oil,836,2275.8790341864096
AUS,Oil,837,297.3072876883625
AUS,Oil,847,681.8070602871803
AUS,Oil,848,1465.8261278519185
AUS,Oil,849,2275.8790341864096
AUS,Oil,850,2275.8790341864096
AUS,Oil,851,2275.8790341864096
AUS,Oil,852,2275.8790341864096
AUS,Oil,853,2275.8790341864096
AUS,Oil,854,2115.3349008492332
AUS,Oil,855,1601.0018291562028
AUS,Oil,856,1521.899011355923
AUS,Oil,857,1588.9862112624996
AUS,Oil,858,2275.8790341864096
AUS,Oil,859,2275.8790341864096
AUS,Oil,860,2073.837128578827
AUS,Oil,861,603.7055439780497
AUS,Oil,871,627.7367797654697
AUS,Oil,872,1382.7181040870819
AUS,Oil,873,2275.8790341864096
AUS,Oil,874,1978.4924913170198
AUS,Oil,875,2275.8790341864096
AUS,Oil,876,2275.8790341864096
AUS,Oil,877,1676.6880402474471
AUS,Oil,878,1488.8560621482138
AUS,Oil,879,1412.7571488213798
AUS,Oil,880,1289.5970654108205
AUS,Oil,881,1390.7285160162319
AUS,Oil,882,2032.5627718387223
AUS,Oil,883,2241.3012357586595
AUS,Oil,884,814.9801586091635
AUS,Oil,885,203.1849475209283
AUS,Oil,898,172.14460129553026
AUS,Oil,899,242.23570567551997
AUS,Oil,900,136.09774761438985
AUS,Oil,906,436.48819495721
AUS,Oil,907,318.33461900237035
AUS,Oil,943,687.8148692340401
AUS,Oil,944,1551.938056090221
AUS,Oil,945,2024.5523599095795
AUS,Oil,946,2275.8790341864096
AUS,Oil,947,2275.8790341864096
AUS,Oil,948,2275.8790341864096
AUS,Oil,949,2275.8790341864096
