location,technology,time_step,availability
DEN,SunPV,1,0.0
DEN,SunPV,2,0.0
DEN,SunPV,3,0.0
DEN,SunPV,4,0.0
DEN,SunPV,5,0.0
DEN,SunPV,6,0.0
DEN,SunPV,7,0.0
DEN,SunPV,8,0.0
DEN,SunPV,9,0.0
DEN,SunPV,10,0.008
DEN,SunPV,11,0.02
DEN,SunPV,12,0.015
DEN,SunPV,13,0.015
DEN,SunPV,14,0.014
DEN,SunPV,15,0.001
DEN,SunPV,16,0.0
DEN,SunPV,17,0.0
DEN,SunPV,18,0.0
DEN,SunPV,19,0.0
DEN,SunPV,20,0.0
DEN,SunPV,21,0.0
DEN,SunPV,22,0.0
DEN,SunPV,23,0.0
DEN,SunPV,24,0.0
DEN,SunPV,25,0.0
DEN,SunPV,26,0.0
DEN,SunPV,27,0.0
DEN,SunPV,28,0.0
DEN,SunPV,29,0.0
DEN,SunPV,30,0.0
DEN,SunPV,31,0.0
DEN,SunPV,32,0.0
DEN,SunPV,33,0.014
DEN,SunPV,34,0.089
DEN,SunPV,35,0.124
DEN,SunPV,36,0.134
DEN,SunPV,37,0.116
DEN,SunPV,38,0.101
DEN,SunPV,39,0.022
DEN,SunPV,40,0.0
DEN,SunPV,41,0.0
DEN,SunPV,42,0.0
DEN,SunPV,43,0.0
DEN,SunPV,44,0.0
DEN,SunPV,45,0.0
DEN,SunPV,46,0.0
DEN,SunPV,47,0.0
DEN,SunPV,48,0.0
DEN,SunPV,49,0.0
DEN,SunPV,50,0.0
DEN,SunPV,51,0.0
DEN,SunPV,52,0.0
DEN,SunPV,53,0.0
DEN,SunPV,54,0.0
DEN,SunPV,55,0.0
DEN,SunPV,56,0.0
DEN,SunPV,57,0.011
DEN,SunPV,58,0.094
DEN,SunPV,59,0.188
DEN,SunPV,60,0.203
DEN,SunPV,61,0.158
DEN,SunPV,62,0.107
DEN,SunPV,63,0.023
DEN,SunPV,64,0.0
DEN,SunPV,65,0.0
DEN,SunPV,66,0.0
DEN,SunPV,67,0.0
DEN,SunPV,68,0.0
DEN,SunPV,69,0.0
DEN,SunPV,70,0.0
DEN,SunPV,71,0.0
DEN,SunPV,72,0.0
DEN,SunPV,73,0.0
DEN,SunPV,74,0.0
DEN,SunPV,75,0.0
DEN,SunPV,76,0.0
DEN,SunPV,77,0.0
DEN,SunPV,78,0.0
DEN,SunPV,79,0.0
DEN,SunPV,80,0.0
DEN,SunPV,81,0.015
DEN,SunPV,82,0.168
DEN,SunPV,83,0.284
DEN,SunPV,84,0.335
DEN,SunPV,85,0.283
DEN,SunPV,86,0.172
DEN,SunPV,87,0.042
DEN,SunPV,88,0.0
DEN,SunPV,89,0.0
DEN,SunPV,90,0.0
DEN,SunPV,91,0.0
DEN,SunPV,92,0.0
DEN,SunPV,93,0.0
