location,time_step,loss_of_load
ITA,1,10865.7486354685
NED,1,8170.043594147301
ITA,2,9626.3490120386
NED,2,7924.855962422
ITA,3,7887.94397557467
NED,3,7508.630184372199
ITA,4,6392.95621376149
NED,4,7069.665230799401
ITA,5,5497.38349077572
NED,5,6799.7611039405
ITA,6,5488.25534297631
NED,6,6781.9652274443
ITA,7,6329.05917916568
NED,7,6915.4343011657
NED,8,7211.043582963601
NED,9,3737.7289393932015
NED,16,7797.927038270567
ITA,17,11556.4451522899
NED,17,9476.0631970068
ITA,18,15737.136844416
NED,18,10612.0333133471
ITA,19,16968.4225586909
NED,19,10682.2281595265
ITA,20,17553.638256497
NED,20,10516.1333122287
ITA,21,16873.084126984126
NED,21,10159.2271224995
ITA,22,15635.712979978201
NED,22,9622.3848481977
ITA,23,13335.4197345289
NED,23,8978.7673149187
ITA,24,10297.7749946168
NED,24,8225.4085432466
ITA,25,8431.57588896128
NED,25,7590.6889482157
ITA,26,6405.12707749403
NED,26,7111.188942623799
ITA,27,5253.966216125
NED,27,6818.545640242
ITA,28,4849.28499701817
NED,28,6719.679659707601
ITA,29,5047.06153267188
NED,29,6776.0332686122
ITA,30,6444.68238462477
NED,30,7106.2456435971
ITA,31,9593.14906179415
NED,31,7918.9240035899
NED,32,9028.2003051859
NED,33,9160.771807770234
NED,40,6382.485007356733
ITA,41,20793.1164866404
NED,41,11417.791054702499
ITA,42,25318.649317855
NED,42,12706.014781065802
ITA,43,25873.4378563298
NED,43,12358.006529584702
ITA,44,25523.5255240194
NED,44,11899.268379905
ITA,45,23179.6200168618
NED,45,11259.6054858474
ITA,46,20232.2425162993
NED,46,10424.1879503317
ITA,47,16392.3350086842
NED,47,9642.1580443046
ITA,48,12792.8020597867
NED,48,8934.2776236783
ITA,49,9383.9459760322
NED,49,8142.361119597699
ITA,50,7133.350424157439
NED,50,7585.745649189001
ITA,51,5877.72298241747
NED,51,7188.304407440701
ITA,52,5317.86325072081
NED,52,6983.6518277345
ITA,53,5299.60695512201
NED,53,6927.298218829899
ITA,54,6251.97704219295
NED,54,7131.9507985361
ITA,55,8251.311335282031
NED,55,7539.278638337801
NED,56,8250.1250383802
NED,57,9013.887510175533
NED,58,5028.0666183695
NED,59,710.0560319679662
NED,62,386.80981995453476
NED,63,6023.129940281267
NED,64,10968.9395030763
ITA,65,16800.0589437242
NED,65,11359.4601261872
ITA,66,21557.8524245014
NED,66,12065.3632272028
ITA,67,22753.6397862231
NED,67,11767.7766257943
ITA,68,22863.1775598159
NED,68,11308.0498163093
ITA,69,20707.9204405126
NED,69,10691.1260977746
ITA,70,18024.2449874884
NED,70,9991.154955591
ITA,71,14911.5465878923
NED,71,9322.8209271785
ITA,72,11848.5458818708
NED,72,8618.8951457735
ITA,73,9001.5780071017
NED,73,7968.3569938571
ITA,74,6725.62648911748
NED,74,7433.492039166
ITA,75,5492.31229755383
NED,75,7074.6085298261005
ITA,76,4915.21050890274
NED,76,6912.4683217497
ITA,77,4812.77240582056
NED,77,6857.103372650399
ITA,78,5234.69568188181
NED,78,6929.275538440501
ITA,79,6089.968784112501
NED,79,7110.2002828184995
NED,80,7556.085855028699
NED,81,1439.368157973
NED,88,3552.5601753946994
ITA,89,12695.4351499264
NED,89,9943.6992849345
ITA,90,17266.6087201381
NED,90,11420.757034118498
ITA,91,18935.0312901399
NED,91,11500.838478351401
ITA,92,19539.5175221892
NED,92,11274.4353829276
ITA,93,18430.954683884
NED,93,10739.5704282365
ITA,94,16468.4029070126
NED,94,10039.5992860529
ITA,95,13988.5894215084
NED,95,9342.5941232853
ITA,96,10892.1188402223
NED,96,8470.5961749719
ITA,97,8562.41267408604
NED,97,7814.126064223499
ITA,98,6520.75028295312
NED,98,7379.1157498721
ITA,99,5412.18744464796
NED,99,7166.553891723101
ITA,100,4990.26416858672
NED,100,7121.0755406773005
ITA,101,5184.99798830729
NED,101,7238.7260575132
ITA,102,6530.8926693969
NED,102,7669.7817326432
ITA,103,9486.65400413445
NED,103,9072.6899964264
NED,104,11238.8436299352
NED,105,10028.480192129067
NED,110,2252.4564169729
NED,111,9119.049804214967
NED,112,13063.438072864734
ITA,113,19701.7957052897
NED,113,13689.7312873831
ITA,114,24295.2825256776
NED,114,14237.4488195437
ITA,115,25312.5638859888
NED,115,13520.670460669298
ITA,116,24871.3700756843
NED,116,12953.1797324018
ITA,117,22529.4930458155
NED,117,12207.7302391724
ITA,118,19630.7990001832
NED,118,11315.959094752
ITA,119,16150.946211322302
NED,119,10280.8322785568
ITA,120,12737.0189343459
NED,120,9244.7168025563
ITA,121,9702.4169103669
NED,121,8380.6281326856
ITA,122,7420.3799605164095
NED,122,7857.6270956585995
ITA,123,6261.10518999236
NED,123,7599.5868864638
ITA,124,5674.87525354187
NED,124,7506.6528647615
ITA,125,5707.33089016196
NED,125,7587.7229687997005
ITA,126,6247.92008761544
NED,126,8012.8466850976
ITA,127,7470.347579110972
NED,127,9288.2178339914
NED,128,11588.829201027002
NED,129,9508.019121116668
NED,136,12134.660502245135
ITA,137,14202.5937754721
NED,137,13480.135408650101
ITA,138,18879.2481646991
NED,138,14275.0178921468
ITA,139,20739.3618384884
NED,139,13498.9199449517
ITA,140,20955.3946697409
NED,140,13014.476640333101
ITA,141,19870.1593202564
NED,141,12187.9570430655
ITA,142,17845.7389860779
NED,142,11273.4467231223
ITA,143,14998.7711113089
NED,143,10230.4106284843
ITA,144,11586.8723116212
NED,144,9240.7621633349
ITA,145,8968.1081318372
NED,145,8434.0157621742
ITA,146,7044.097423452169
NED,146,7897.1734878724
ITA,147,6133.31112080072
NED,147,7640.1219384829
ITA,148,5991.31771058781
NED,148,7557.074514833999
ITA,149,6438.5969527585
NED,149,7610.462144322601
ITA,150,8478.23086660267
NED,150,8048.438438089999
ITA,151,14684.627056571751
NED,151,9357.4240203655
NED,152,11537.4188911491
NED,153,4991.242369506766
ITA,160,3381.8457458024095
NED,160,9672.608206539333
ITA,161,30959.8446578855
NED,161,13277.4601485546
ITA,162,33878.8234764054
NED,162,14161.322014532201
ITA,163,32885.8838435593
NED,163,13379.292108505098
ITA,164,31383.7964112355
NED,164,12915.610659798702
